date,location,new_cases,new_deaths,total_cases,total_deaths,total_survivors
2020-01-30,RO,0,0,0,0,0
2020-01-31,RO,0,0,0,0,0
2020-02-01,RO,0,0,0,0,0
2020-02-02,RO,0,0,0,0,0
2020-02-03,RO,0,0,0,0,0
2020-02-04,RO,0,0,0,0,0
2020-02-05,RO,0,0,0,0,0
2020-02-06,RO,0,0,0,0,0
2020-02-07,RO,0,0,0,0,0
2020-02-08,RO,0,0,0,0,0
2020-02-09,RO,0,0,0,0,0
2020-02-10,RO,0,0,0,0,0
2020-02-11,RO,0,0,0,0,0
2020-02-12,RO,0,0,0,0,0
2020-02-13,RO,0,0,0,0,0
2020-02-14,RO,0,0,0,0,0
2020-02-15,RO,0,0,0,0,0
2020-02-16,RO,0,0,0,0,0
2020-02-17,RO,0,0,0,0,0
2020-02-18,RO,0,0,0,0,0
2020-02-19,RO,0,0,0,0,0
2020-02-20,RO,0,0,0,0,0
2020-02-21,RO,0,0,0,0,0
2020-02-22,RO,0,0,0,0,0
2020-02-23,RO,0,0,0,0,0
2020-02-24,RO,0,0,0,0,0
2020-02-25,RO,0,0,0,0,0
2020-02-26,RO,0,0,0,0,0
2020-02-27,RO,0,0,0,0,0
2020-02-28,RO,0,0,0,0,0
2020-02-29,RO,0,0,0,0,0
2020-03-01,RO,0,0,0,0,0
2020-03-02,RO,0,0,0,0,0
2020-03-03,RO,0,0,0,0,0
2020-03-04,RO,0,0,0,0,0
2020-03-05,RO,0,0,0,0,0
2020-03-06,RO,0,0,0,0,0
2020-03-07,RO,0,0,0,0,0
2020-03-08,RO,0,0,0,0,0
2020-03-09,RO,0,0,0,0,0
2020-03-10,RO,0,0,0,0,0
2020-03-11,RO,0,0,0,0,0
2020-03-12,RO,0,0,0,0,0
2020-03-13,RO,0,0,0,0,0
2020-03-14,RO,0,0,0,0,0
2020-03-15,RO,0,0,0,0,0
2020-03-16,RO,0,0,0,0,0
2020-03-17,RO,0,0,0,0,0
2020-03-18,RO,0,0,0,0,0
2020-03-19,RO,0,0,0,0,0
